slang,baku
yg,yang
blm,belum
tdk,tidak
dgn,dengan
utk,untuk
dr,dari
pd,pada
krn,karena
sdh,sudah
udh,sudah
msh,masih
blh,boleh
bs,bisa
bgt,banget
gk,tidak
ga,tidak
gak,tidak
nggak,tidak
ngga,tidak
gx,tidak
g,tidak
trs,terus
trus,terus
tp,tapi
sm,sama
jg,juga
lg,lagi
udah,sudah
bkn,bukan
sblm,sebelum
stlh,setelah
spt,seperti
sprti,seperti
hrs,harus
tsb,tersebut
dlm,dalam
dpt,dapat
shg,sehingga
krg,kurang
bgmn,bagaimana
gmn,bagaimana
gmna,bagaimana
bgmna,bagaimana
tgl,tanggal
bln,bulan
thn,tahun
mslh,masalah
msalah,masalah
prnh,pernah
lg,lagi
sdg,sedang
dg,dengan
klo,kalau
kalo,kalau
kl,kalau
klw,kalau
jd,jadi
jdi,jadi
ak,saya
aq,saya
sy,saya
km,kamu
kmu,kamu
org,orang
orng,orang
tmn,teman
brg,barang
brng,barang
bru,baru
br,baru
dri,dari
dstu,disitu
dsni,disini
dsitu,disitu
dsana,disana
kt,kita
mrk,mereka
sll,selalu
aja,saja
aj,saja
doang,saja
doank,saja
cuma,hanya
cm,hanya
cmn,hanya
gtu,begitu
gt,begitu
gni,begini
gini,begini
emg,memang
emng,memang
mmg,memang
mng,mungkin
mgkn,mungkin
mngkn,mungkin
smpe,sampai
smp,sampai
ampe,sampai
abis,habis
abs,habis
strukdat,struktur data
db,database
tbl,tabel
btn,tombol
bttn,tombol
pg,halaman
hal,halaman
msg,pesan
err,error
eror,error
mncul,muncul
mncl,muncul
tmpl,tampil
tmpil,tampil
tdk bisa,tidak bisa
gbsa,tidak bisa
g bsa,tidak bisa
gbisa,tidak bisa
gbs,tidak bisa
tamp,tampilan
tmpilan,tampilan
mslhnya,masalahnya
msalhnya,masalahnya
lg,lagi
brjalan,berjalan
brhasil,berhasil
brhsil,berhasil
ggl,gagal
mndptkan,mendapatkan
mnmpilkan,menampilkan
dklik,diklik
mnghpus,menghapus
mnyimpan,menyimpan
mnyimpn,menyimpan
input,masukan
output,keluaran
fitur,fitur
scr,secara
ttg,tentang
stl,setelah
sblmnya,sebelumnya
